film,year,filmID,actor,role,personID,repeat
The Middleman,1975,tt0074710,Bhaya Mukherjee,,nm5587179,1
The Middleman,1975,tt0074710,Satish Ghosh,,nm5587224,1
The Middleman,1975,tt0074710,Sachin Banerjee,,nm5587249,1
The Middleman,1975,tt0074710,Tapas Sengupta,,nm5587265,1
The Middleman,1975,tt0074710,Barin Mukherjee,,nm5587274,1
The Middleman,1975,tt0074710,Jayanta Chowdhury,,nm5587293,1
The Middleman,1975,tt0074710,S. Bagchi,,nm5587322,1
The Middleman,1975,tt0074710,Samir Roy,,nm5587350,1
The Middleman,1975,tt0074710,Subrata Dutta,,nm5587387,1
The Middleman,1975,tt0074710,Patrick Jackson,,nm5587419,1
The Middleman,1975,tt0074710,Sonia Wales,,nm5587447,1
The Middleman,1975,tt0074710,Bijon Chakraborty,,nm5587455,1
The Middleman,1975,tt0074710,Rafiq Ahmed,,nm5587456,1
The Middleman,1975,tt0074710,Jatish Bhora,,nm5587485,1
The Middleman,1975,tt0074710,Krishna Banerjee,,nm5587504,1
The Middleman,1975,tt0074710,Gita Basu,,nm5587553,1
The Middleman,1975,tt0074710,Ajit Mukherjee,,nm5587566,1
The Middleman,1975,tt0074710,Anup Chakraborty,,nm5587652,1
Heerak Rajar Deshe,1980,tt0080856,Anup Mukherjee,,nm5588606,1
Heerak Rajar Deshe,1980,tt0080856,Robin Kumar Das,,nm5588617,1
Heerak Rajar Deshe,1980,tt0080856,Daya Banerjee,,nm5588621,1
Heerak Rajar Deshe,1980,tt0080856,Koushik Ghosh,,nm5588638,1
Heerak Rajar Deshe,1980,tt0080856,Kumardeb Dutta,,nm5588641,1
Heerak Rajar Deshe,1980,tt0080856,Ashok Kumar Dey,,nm5588643,1
Heerak Rajar Deshe,1980,tt0080856,Sachin Chatterjee,,nm5588659,1
Heerak Rajar Deshe,1980,tt0080856,Rudranarayan Saha,,nm5588664,1
Heerak Rajar Deshe,1980,tt0080856,Samudra Dasgupta,,nm5588669,1
Heerak Rajar Deshe,1980,tt0080856,Arup Mukherjee,,nm5588684,1
Heerak Rajar Deshe,1980,tt0080856,Rahul Roy,,nm5588717,1
Heerak Rajar Deshe,1980,tt0080856,Anindya Basu,,nm5588741,1
Heerak Rajar Deshe,1980,tt0080856,Krishnapada Saha,,nm5588750,1
Heerak Rajar Deshe,1980,tt0080856,Anindya Ganguly,,nm5588754,1
Heerak Rajar Deshe,1980,tt0080856,Shoumik Nandy Majumdar,,nm5588773,1
Heerak Rajar Deshe,1980,tt0080856,Bikramjit Das,,nm5588798,1
Heerak Rajar Deshe,1980,tt0080856,Manas Mukherjee,,nm5588802,1
An Enemy of the People,1989,tt0097409,Shankar Patra,,nm5591265,1
An Enemy of the People,1989,tt0097409,Purna Chattopadhyay,,nm5591274,1
An Enemy of the People,1989,tt0097409,Pinaki Ghosh,,nm5591295,1
An Enemy of the People,1989,tt0097409,Ashok Bera,,nm5591299,1
Ghare-Baire,1984,tt0087328,Debnath Bose,,nm5591332,1
Ghare-Baire,1984,tt0087328,Malati Bol,,nm5591352,1
Ghare-Baire,1984,tt0087328,Rasik Banerjee,,nm5591368,1
An Enemy of the People,1989,tt0097409,Subhransu Mukherjee,,nm5591388,1
Ghare-Baire,1984,tt0087328,Nandita Ghosh,,nm5591389,1
An Enemy of the People,1989,tt0097409,Sunil Nath,,nm5591406,1
An Enemy of the People,1989,tt0097409,Kumar Saha,,nm5591423,1
An Enemy of the People,1989,tt0097409,Subhashish Dutta,,nm5591429,1
An Enemy of the People,1989,tt0097409,Sourin Maity,,nm5591446,1
An Enemy of the People,1989,tt0097409,Bishwanath Dasgupta,,nm5591468,1
An Enemy of the People,1989,tt0097409,Masur Sengupta,,nm5591470,1
An Enemy of the People,1989,tt0097409,Sharmi Chakraborty,,nm5591478,1
Ghare-Baire,1984,tt0087328,Shekhar Das,,nm5591479,1
An Enemy of the People,1989,tt0097409,Pramod Ranjan Prasad,,nm5591490,1
Ghare-Baire,1984,tt0087328,Rambalak Pandey,,nm5591518,1
An Enemy of the People,1989,tt0097409,Buddhadeb Bhattacharya,,nm5591522,1
Ghare-Baire,1984,tt0087328,Narayan Dutta,,nm5591526,1
Distant Thunder,1973,tt0069737,Bobita,"Ananga, Gangacharan's wife",nm6150259,1
The Adversary,1970,tt0066237,Indira Devi,Sarojini,nm7589831,1
Company Limited,1971,tt0067729,Shefali,,nm8236207,1
The Zoo,1967,tt0061474,Subrata Chatterjee,,nm8989773,1
